id,bud.type,group,lo.doy,EOS,EOS.DOY,bud.length.x,bud.length.y,diff,total.rel.growth,lo.timing,treatment.timing,cooling.level,treat.cool.combined
T423,lateral,T,129,2023-09-19,262,4.88,16.97,12.09,71.24337065409546,early,August,Extreme,August.Extreme
T424,apical,T,136,2023-09-10,253,4.62,14.21,9.59,67.48768472906403,early,August,Extreme,August.Extreme
T424,lateral,T,136,2023-09-10,253,4.66,12.54,7.879999999999999,62.83891547049441,early,August,Extreme,August.Extreme
T425,apical,T,136,2023-09-14,257,4.12,13.69,9.57,69.90504017531045,early,August,Extreme,August.Extreme
T425,lateral,T,136,2023-09-29,272,3.32,11.96,8.64,72.24080267558529,early,August,Extreme,August.Extreme
T426,apical,T,138,2023-09-12,255,5.07,13.55,8.48,62.5830258302583,early,August,Extreme,August.Extreme
T426,lateral,T,138,2023-09-20,263,5.06,13.81,8.75,63.359884141926145,early,August,Extreme,August.Extreme
T427,apical,T,136,2023-09-21,264,11.32,19.28,7.960000000000001,41.286307053941904,early,August,Extreme,August.Extreme
T427,lateral,T,136,2023-09-26,269,6.32,15.9,9.58,60.25157232704402,early,August,Extreme,August.Extreme
T428,apical,T,131,2023-09-14,257,7.32,20.93,13.61,65.02627806975633,early,August,Extreme,August.Extreme
T428,lateral,T,131,2023-09-14,257,5.18,16.2,11.02,68.0246913580247,early,August,Extreme,August.Extreme
T429,apical,T,131,2023-09-20,263,4.72,14.76,10.04,68.02168021680217,early,August,Extreme,August.Extreme
T429,lateral,T,131,2023-09-28,271,3.43,10.97,7.540000000000001,68.73290793072015,early,August,Extreme,August.Extreme
T430,apical,T,130,2023-09-13,256,4.98,12.66,7.68,60.66350710900474,early,August,Extreme,August.Extreme
T430,lateral,T,130,2023-09-07,250,4.3,11.94,7.64,63.98659966499163,early,August,Extreme,August.Extreme
T431,apical,T,131,2023-09-19,262,6.23,18.63,12.399999999999999,66.55931293612453,early,August,Extreme,August.Extreme
T431,lateral,T,131,2023-09-19,262,5.63,15.64,10.010000000000002,64.00255754475704,early,August,Extreme,August.Extreme
T432,apical,T,121,2023-09-11,254,7.99,16.77,8.78,52.355396541443056,early,August,Extreme,August.Extreme
T432,lateral,T,121,2023-09-09,252,5.37,12.83,7.46,58.14497272018706,early,August,Extreme,August.Extreme
T433,apical,T,129,2023-09-21,264,5.24,16.62,11.38,68.47172081829122,early,August,Extreme,August.Extreme
T433,lateral,T,129,2023-09-17,260,4.72,14.92,10.2,68.36461126005362,early,August,Extreme,August.Extreme
T434,apical,T,136,2023-09-20,263,4.89,16.11,11.219999999999999,69.6461824953445,early,August,Extreme,August.Extreme
T434,lateral,T,136,2023-09-26,269,6.61,15.01,8.399999999999999,55.96269153897402,early,August,Extreme,August.Extreme
T435,apical,T,121,2023-08-27,239,7.83,16.69,8.860000000000001,53.085680047932904,early,August,Extreme,August.Extreme
T435,lateral,T,121,2023-08-29,241,6.89,15.08,8.190000000000001,54.310344827586206,early,August,Extreme,August.Extreme
T436,apical,T,136,2023-09-21,264,4.49,16.09,11.6,72.094468614046,early,August,Extreme,August.Extreme
T436,lateral,T,136,2023-09-29,272,4.45,17.09,12.64,73.96138092451726,early,August,Extreme,August.Extreme
T437,apical,T,131,2023-08-28,240,7.69,17.58,9.889999999999997,56.25711035267349,early,August,Extreme,August.Extreme
T437,lateral,T,131,2023-09-18,261,5.6,15.35,9.75,63.51791530944626,early,August,Extreme,August.Extreme
T438,apical,T,131,2023-09-24,267,3.92,12.71,8.790000000000001,69.15814319433518,early,August,Extreme,August.Extreme
T438,lateral,T,131,2023-09-25,268,3.38,12.03,8.649999999999999,71.90357439733998,early,August,Extreme,August.Extreme
T439,apical,T,131,2023-09-13,256,5.74,15.65,9.91,63.32268370607028,early,August,Extreme,August.Extreme
T439,lateral,T,131,2023-09-29,272,3.95,13.41,9.46,70.54436987322894,early,August,Extreme,August.Extreme
T440,apical,T,145,2023-09-10,253,5.59,16.49,10.899999999999999,66.10066707095208,early,August,Extreme,August.Extreme
T440,lateral,T,145,2023-09-14,257,4.32,13.35,9.03,67.64044943820224,early,August,Extreme,August.Extreme
U442,apical,U,148,2023-09-28,271,5,16.46,11.46,69.62332928311056,late,August,Extreme,August.Extreme
U442,lateral,U,148,2023-09-22,265,4.5,14.25,9.75,68.42105263157895,late,August,Extreme,August.Extreme
U443,apical,U,148,2023-09-17,260,4.88,14.87,9.989999999999998,67.182246133154,late,August,Extreme,August.Extreme
U443,lateral,U,148,2023-09-30,273,3.38,12.36,8.98,72.65372168284789,late,August,Extreme,August.Extreme
U444,apical,U,148,2023-09-17,260,5.02,15.63,10.610000000000001,67.88227767114523,late,August,Extreme,August.Extreme
U444,lateral,U,148,2023-09-13,256,4.53,13.06,8.530000000000001,65.31393568147014,late,August,Extreme,August.Extreme
U445,apical,U,150,2023-09-10,253,4.68,11.6,6.92,59.6551724137931,late,August,Extreme,August.Extreme
U445,lateral,U,150,2023-09-12,255,2.7,9.73,7.03,72.25077081192188,late,August,Extreme,August.Extreme
U446,apical,U,148,2023-09-12,255,5.65,15.91,10.26,64.487743557511,late,August,Extreme,August.Extreme
U446,lateral,U,148,2023-09-18,261,4.92,15.1,10.18,67.41721854304636,late,August,Extreme,August.Extreme
U447,apical,U,148,2023-09-14,257,6.95,17.07,10.120000000000001,59.28529584065612,late,August,Extreme,August.Extreme
U447,lateral,U,148,2023-09-14,257,5.62,16.79,11.169999999999998,66.5276950565813,late,August,Extreme,August.Extreme
U448,apical,U,148,2023-09-26,269,9.1,20.15,11.049999999999999,54.83870967741935,late,August,Extreme,August.Extreme
U448,lateral,U,148,2023-09-18,261,7.51,19.18,11.67,60.84462982273201,late,August,Extreme,August.Extreme
U449,apical,U,148,2023-09-17,260,2.36,9.68,7.32,75.6198347107438,late,August,Extreme,August.Extreme
U449,lateral,U,148,2023-09-28,271,5.12,14.91,9.79,65.66063044936284,late,August,Extreme,August.Extreme
U450,apical,U,148,2023-09-23,266,4.32,14.51,10.19,70.22742935906273,late,August,Extreme,August.Extreme
U450,lateral,U,148,2023-09-27,270,2.78,13.63,10.850000000000001,79.60381511371975,late,August,Extreme,August.Extreme
U451,apical,U,148,2023-09-09,252,6.83,12.57,5.74,45.664280031821804,late,August,Extreme,August.Extreme
U451,lateral,U,148,2023-09-27,270,5.99,13.77,7.779999999999999,56.499636891793756,late,August,Extreme,August.Extreme
U452,apical,U,148,2023-09-16,259,4.92,14.62,9.7,66.34746922024624,late,August,Extreme,August.Extreme
U452,lateral,U,148,2023-09-13,256,3.91,10.24,6.33,61.81640625,late,August,Extreme,August.Extreme
U453,apical,U,145,2023-09-15,258,4.72,15.36,10.64,69.27083333333333,late,August,Extreme,August.Extreme
U453,lateral,U,145,2023-09-20,263,7.17,20.86,13.69,65.62799616490891,late,August,Extreme,August.Extreme
U454,apical,U,148,2023-09-19,262,6.72,17.41,10.690000000000001,61.401493394600806,late,August,Extreme,August.Extreme
U454,lateral,U,148,2023-09-22,265,5.07,15.35,10.28,66.97068403908794,late,August,Extreme,August.Extreme
U455,apical,U,151,2023-09-15,258,5.8,18.38,12.579999999999998,68.44396082698584,late,August,Extreme,August.Extreme
U455,lateral,U,151,2023-09-19,262,4.43,11.26,6.83,60.657193605683844,late,August,Extreme,August.Extreme
U456,apical,U,150,2023-09-27,270,5.74,16.21,10.47,64.58975940777299,late,August,Extreme,August.Extreme
U456,lateral,U,150,2023-09-29,272,5.68,18.18,12.5,68.75687568756877,late,August,Extreme,August.Extreme
U457,apical,U,148,2023-09-14,257,5.7,15.09,9.39,62.22664015904573,late,August,Extreme,August.Extreme
U457,lateral,U,148,2023-09-14,257,4.66,12.48,7.82,62.66025641025641,late,August,Extreme,August.Extreme
U458,lateral,U,148,2023-09-18,261,4.75,14.65,9.9,67.57679180887372,late,August,Extreme,August.Extreme
U459,apical,U,148,2023-09-21,264,5.93,24.2,18.27,75.49586776859505,late,August,Extreme,August.Extreme
U459,lateral,U,148,2023-09-23,266,6.73,23.16,16.43,70.9412780656304,late,August,Extreme,August.Extreme
U460,apical,U,148,2023-09-25,268,1.78,12.61,10.83,85.8842188739096,late,August,Extreme,August.Extreme
U460,lateral,U,148,2023-09-17,260,5.43,16.88,11.45,67.83175355450237,late,August,Extreme,August.Extreme
U461,apical,U,148,2023-09-11,254,7.73,17.3,9.57,55.31791907514451,late,August,Extreme,August.Extreme
U461,lateral,U,148,2023-09-11,254,4.64,15.69,11.05,70.42702358189929,late,August,Extreme,August.Extreme
U462,apical,U,148,2023-09-13,256,5.76,16.33,10.569999999999999,64.72749540722596,late,August,Extreme,August.Extreme
