id,number,group,measurement.date,SPAD
C51,51,C,07.08.2022,39.3
C52,52,C,07.08.2022,34.2
C53,53,C,07.08.2022,36.4
C54,54,C,07.08.2022,34.2
A05,5,A,07.09.2022,33.3
A07,7,A,07.09.2022,26.3
A08,8,A,07.09.2022,34.6
A09,9,A,07.09.2022,27.9
A10,10,A,07.09.2022,28.9
A11,11,A,07.09.2022,31.3
A12,12,A,07.09.2022,33.4
A16,16,A,07.09.2022,37.9
B20,20,B,07.09.2022,27.8
B21,21,B,07.09.2022,33.6
B23,23,B,07.09.2022,35.7
B24,24,B,07.09.2022,31.2
B25,25,B,07.09.2022,28
B28,28,B,07.09.2022,31.5
B30,30,B,07.09.2022,25.2
B31,31,B,07.09.2022,29.1
C39,39,C,07.09.2022,20.7
C40,40,C,07.09.2022,29.2
C44,44,C,07.09.2022,29.3
C47,47,C,07.09.2022,31.8
C50,50,C,07.09.2022,35.9
C52,52,C,07.09.2022,35.8
D56,56,D,07.09.2022,30.9
D61,61,D,07.09.2022,32.9
D62,62,D,07.09.2022,26
D64,64,D,07.09.2022,29
D66,65,D,07.09.2022,33.5
D68,68,D,07.09.2022,33.5
D69,69,D,07.09.2022,39.9
D71,71,D,07.09.2022,26.4
E75,75,E,07.09.2022,32.9
E77,77,E,07.09.2022,33.6
E79,79,E,07.09.2022,38.3
E82,82,E,07.09.2022,33.8
E83,83,E,07.09.2022,38
E84,84,E,07.09.2022,36.7
E90,90,E,07.09.2022,33.1
F97,97,F,07.09.2022,31.7
F98,98,F,07.09.2022,36.8
F100,100,F,07.09.2022,30.5
F102,102,F,07.09.2022,32.4
F103,103,F,07.09.2022,32
G112,112,G,07.09.2022,33.3
G113,113,G,07.09.2022,38.9
G115,115,G,07.09.2022,36.3
G117,117,G,07.09.2022,36.2
G121,121,G,07.09.2022,32.1
G124,124,G,07.09.2022,32.3
H127,127,H,07.09.2022,35.7
H131,131,H,07.09.2022,37.1
H132,132,H,07.09.2022,31
H133,133,H,07.09.2022,32.2
H136,136,H,07.09.2022,32.5
H137,137,H,07.09.2022,32.6
H138,138,H,07.09.2022,33.8
H139,139,H,07.09.2022,27.1
I147,147,I,07.09.2022,34
I148,148,I,07.09.2022,31.5
I152,152,I,07.09.2022,31.9
I154,154,I,07.09.2022,30.4
I155,155,I,07.09.2022,24.7
I158,158,I,07.09.2022,20.9
I159,159,I,07.09.2022,32.4
I161,161,I,07.09.2022,31.7
J163,163,J,07.09.2022,31.9
J164,164,J,07.09.2022,33.4
J166,166,J,07.09.2022,33.5
J169,169,J,07.09.2022,38.7
J172,172,J,07.09.2022,31.8
J173,173,J,07.09.2022,36.3
J175,175,J,07.09.2022,27.6
J178,178,J,07.09.2022,32.2
K181,181,K,07.09.2022,29.4
K184,184,K,07.09.2022,30.8
K186,186,K,07.09.2022,29
K189,189,K,07.09.2022,30
K194,194,K,07.09.2022,31.7
K197,197,K,07.09.2022,31
A02,2,A,07.09.2022,33.4
A03,3,A,07.09.2022,36.8
A04,4,A,07.09.2022,31.4
A06,6,A,07.09.2022,34
A13,13,A,07.09.2022,34.9
A14,14,A,07.09.2022,34.2
A17,17,A,07.09.2022,34.8
A18,18,A,07.09.2022,31.8
B22,22,B,07.09.2022,24.4
B26,26,B,07.09.2022,42.1
B29,29,B,07.09.2022,34.6
B32,32,B,07.09.2022,29.7
B33,33,B,07.09.2022,27.6
B36,36,B,07.09.2022,30.5
C37,37,C,07.09.2022,33.3
C42,42,C,07.09.2022,34.5
C45,45,C,07.09.2022,32.7
C46,46,C,07.09.2022,31.9
C48,48,C,07.09.2022,36.5
C49,49,C,07.09.2022,35
C51,51,C,07.09.2022,35.9
C54,54,C,07.09.2022,34.9
D55,55,D,07.09.2022,28.9
D58,58,D,07.09.2022,29.3
D59,59,D,07.09.2022,26.8
D63,63,D,07.09.2022,30.5
D70,70,D,07.09.2022,32.6
D72,72,D,07.09.2022,34.9
E73,73,E,07.09.2022,32.2
E74,74,E,07.09.2022,35
E76,76,E,07.09.2022,29.2
E80,80,E,07.09.2022,30
E85,85,E,07.09.2022,33.5
E86,86,E,07.09.2022,31.5
E87,87,E,07.09.2022,36.6
E88,88,E,07.09.2022,34.6
F91,91,F,07.09.2022,34.8
F93,93,F,07.09.2022,33.2
F94,94,F,07.09.2022,25.6
F95,95,F,07.09.2022,27.6
F99,99,F,07.09.2022,18.2
F101,101,F,07.09.2022,32.4
F105,105,F,07.09.2022,23.3
F106,106,F,07.09.2022,24.6
F108,108,F,07.09.2022,29.3
G109,109,G,07.09.2022,35.6
G110,110,G,07.09.2022,30.7
G118,118,G,07.09.2022,32.6
G120,120,G,07.09.2022,39.7
G122,122,G,07.09.2022,31.8
G123,123,G,07.09.2022,36.7
G125,125,G,07.09.2022,35.3
G126,126,G,07.09.2022,30.1
H128,128,H,07.09.2022,33.8
H130,130,H,07.09.2022,31
H134,134,H,07.09.2022,30.6
H135,135,H,07.09.2022,30.6
H140,140,H,07.09.2022,32.8
H142,142,H,07.09.2022,33.6
I145,145,I,07.09.2022,33.4
I153,153,I,07.09.2022,33.2
I156,156,I,07.09.2022,24.2
